MONTH,RAIN,TMAX,TMIN,WIND,SNOW,FRESHNESS
6,Y,261,189,31,N,0
6,Y,283,189,37,N,0
6,N,272,161,27,N,0
6,Y,283,144,10,N,0
6,Y,300,156,21,N,0
7,Y,233,189,20,N,0
7,Y,333,200,24,N,0
7,N,311,194,13,N,0
7,N,289,178,25,N,0
7,N,300,150,4,N,0
7,N,317,189,13,N,0
7,Y,306,200,16,N,0
7,N,306,206,24,N,0
7,N,311,183,17,N,0
7,N,317,194,16,N,0
7,N,350,239,20,N,0
7,N,328,222,16,N,0
7,N,272,183,35,N,0
7,N,278,167,27,N,0
7,N,306,189,22,N,0
7,N,311,172,4,N,0
7,N,339,206,9,N,0
7,N,344,239,30,N,0
7,N,361,261,24,N,0
7,N,367,256,19,N,0
7,N,383,244,22,N,0
7,N,367,256,17,N,0
7,Y,350,256,17,N,0
7,Y,300,217,17,N,0
7,Y,317,206,17,N,0
7,Y,328,200,15,N,0
7,N,333,211,30,N,0
7,N,350,244,25,N,0
7,Y,300,233,19,N,0
7,N,333,222,13,N,0
7,Y,350,200,9,N,0
8,N,339,200,13,N,0
8,N,350,239,27,N,0
8,Y,317,194,39,N,0
8,N,311,167,20,N,0
8,N,322,211,14,N,0
8,N,322,222,22,N,0
8,Y,328,217,19,N,0
8,Y,306,200,11,N,0
8,N,311,178,37,N,0
8,Y,261,156,24,N,0
8,N,272,167,?,N,0
8,N,283,139,11,N,0
8,Y,311,172,15,N,0
8,N,250,167,39,N,0
8,Y,272,144,17,N,0
8,Y,278,122,5,N,0
8,N,300,156,8,N,0
8,N,311,189,6,N,0
8,Y,317,194,8,N,0
8,Y,300,183,11,N,0
8,Y,283,172,17,N,0
8,Y,283,139,9,N,0
8,Y,278,150,22,N,0
8,Y,333,211,35,N,0
8,N,283,156,28,N,0
8,Y,283,128,9,N,0
8,N,300,150,21,N,0
8,N,261,161,29,N,0
8,N,272,156,16,N,0
8,N,272,133,23,N,0
8,N,328,189,26,N,0
9,N,361,228,21,N,0
9,N,367,222,16,N,0
9,Y,361,200,16,N,0
9,Y,244,144,27,N,0
9,N,200,117,52,N,0
9,N,200,83,51,N,0
9,N,233,111,52,N,0
9,Y,183,139,39,N,0
9,Y,228,161,9,N,0
9,Y,239,144,10,N,0
9,Y,272,133,4,N,0
9,Y,306,150,16,N,0
9,N,306,156,32,N,0
9,Y,222,117,28,N,0
9,N,178,56,35,N,0
9,N,183,78,33,N,0
9,N,222,117,38,N,0
9,Y,217,133,31,N,0
9,Y,211,161,21,N,0
9,N,256,122,5,N,0
9,Y,261,111,26,N,0
9,Y,211,100,13,N,0
9,N,200,122,20,N,0
9,Y,178,111,24,N,0
9,Y,172,122,28,N,0
9,Y,178,122,36,N,0
9,Y,139,122,41,N,0
9,Y,183,122,24,N,0
9,Y,256,89,41,N,0
9,Y,167,61,60,N,0
10,N,156,33,37,N,0
10,N,200,11,17,N,0
10,N,244,28,20,N,0
10,N,256,50,6,N,0
10,N,278,78,0,N,0
10,N,283,94,13,N,0
10,N,300,106,14,N,0
10,N,289,106,14,N,0
10,N,283,111,12,N,0
10,N,272,100,14,N,0
10,N,283,100,14,N,0
10,N,250,111,22,N,0
10,Y,183,128,27,N,0
10,N,178,89,59,N,0
10,N,178,72,60,N,0
10,N,206,78,36,N,0
10,Y,161,22,36,N,0
10,Y,89,72,13,N,0
10,Y,89,72,67,N,0
10,Y,83,56,72,N,0
10,N,133,11,21,N,0
10,N,189,-10,11,N,0
10,N,211,61,14,N,0
10,Y,183,61,26,N,0
10,N,244,56,39,N,0
10,Y,217,94,39,N,0
10,Y,106,17,31,N,0
10,N,133,-5,3,N,0
10,N,144,0,24,N,0
10,N,161,-16,37,N,0
10,Y,150,17,17,N,0
11,N,206,0,23,N,0
11,N,211,94,33,N,0
11,Y,122,56,37,N,0
11,N,128,22,42,N,0
11,N,156,6,30,N,0
11,N,178,56,39,N,0
11,Y,150,111,15,N,0
11,Y,217,122,34,N,0
11,Y,178,28,71,N,0
11,Y,56,-5,50,N,0
11,N,83,-27,27,N,0
11,N,172,50,44,N,0
11,Y,211,133,70,N,0
11,Y,222,78,26,N,0
11,N,161,72,26,N,0
11,N,122,22,41,N,0
11,N,44,-27,39,N,0
11,N,106,-27,44,N,0
11,N,167,83,57,N,0
11,Y,167,50,41,N,0
11,Y,106,50,50,N,0
11,Y,72,61,55,N,0
11,Y,106,6,17,N,0
11,N,89,39,40,N,0
11,N,167,44,41,N,0
11,Y,189,111,47,N,0
11,Y,144,44,41,N,0
11,Y,44,28,51,N,0
11,Y,39,6,68,N,0
11,N,44,-27,?,Y,0
12,N,72,-49,15,N,0
12,N,83,-10,25,N,0
12,N,133,22,30,N,0
12,Y,117,33,41,N,0
12,Y,56,22,39,N,0
12,N,28,-21,41,N,0
12,N,28,-43,32,N,0
12,N,28,-49,14,N,0
12,Y,11,-66,28,Y,0
12,N,-16,-99,21,N,0
12,N,50,-66,17,N,0
12,N,83,-55,6,N,0
12,Y,78,0,10,N,0
12,Y,139,61,38,N,0
12,Y,156,11,64,N,0
12,N,33,-49,21,N,0
12,N,17,-43,19,N,0
12,N,83,-43,23,N,0
12,Y,117,56,34,N,0
12,Y,83,28,34,N,0
12,Y,89,56,29,N,0
12,N,67,0,11,N,0
12,N,39,-10,31,N,0
12,N,44,-38,27,N,0
12,N,78,-21,44,N,0
12,N,83,-43,15,N,0
12,Y,33,6,34,Y,0
12,N,11,-49,21,N,0
12,N,111,11,37,N,0
12,Y,94,28,36,N,0
12,Y,61,22,35,N,0
1,Y,100,-5,87,N,0
1,N,-5,-66,75,N,0
1,N,-27,-105,38,N,0
1,N,78,-32,36,N,0
1,N,106,-43,24,N,0
1,N,139,44,31,N,0
1,N,83,-16,29,N,0
1,N,67,-38,10,N,0
1,N,94,-49,20,N,0
1,N,117,-21,16,N,0
1,Y,72,-10,25,N,0
1,Y,44,-88,55,N,0
1,N,-66,-105,63,Y,0
1,N,-49,-143,11,N,0
1,N,0,-149,26,N,0
1,N,139,-21,34,N,0
1,Y,150,-38,65,N,0
1,N,-16,-93,32,N,0
1,Y,-5,-160,39,N,0
1,Y,-71,-182,46,Y,0
1,Y,-49,-93,46,Y,0
1,Y,89,-82,49,N,0
1,Y,111,11,70,N,0
1,N,28,-32,35,N,0
1,N,11,-49,18,N,0
1,?,22,6,29,N,0
1,N,56,11,33,N,0
1,N,28,-10,59,N,0
1,N,33,-49,48,N,0
1,N,139,-49,38,N,0
1,N,161,83,50,N,0
2,N,133,0,24,N,0
2,N,94,-32,5,N,0
2,N,128,-32,21,N,0
2,Y,56,17,56,N,0
2,N,89,-27,10,N,0
2,N,22,-38,22,N,0
2,N,22,-5,25,N,0
2,Y,17,-27,29,Y,0
2,N,17,-55,30,N,0
2,Y,17,-66,43,N,0
2,N,-55,-110,60,N,0
2,N,22,-93,51,N,0
2,Y,22,-82,25,N,0
2,Y,22,-16,18,Y,0
2,Y,56,11,26,N,0
2,Y,89,-16,26,N,0
2,N,106,-43,23,N,0
2,N,61,-21,42,N,0
2,N,44,-49,37,N,0
2,N,67,-66,31,N,0
2,Y,78,11,46,N,0
2,Y,128,0,25,N,0
2,Y,78,-21,34,N,0
2,N,61,-10,71,N,0
2,N,0,-60,48,N,0
2,N,117,-66,42,N,0
2,N,78,-32,42,N,0
2,Y,194,50,72,N,0
3,N,89,22,44,N,0
3,Y,161,17,60,N,0
3,N,22,0,65,N,0
3,N,44,-16,46,N,0
3,N,44,-43,41,N,0
3,N,200,-5,56,N,0
3,N,206,117,72,N,0
3,Y,189,6,59,N,0
3,N,72,-21,50,N,0
3,N,144,-43,32,N,0
3,N,211,0,22,N,0
3,Y,239,122,55,N,0
3,N,239,61,16,N,0
3,N,278,111,32,N,0
3,N,278,167,36,N,0
3,N,272,144,25,N,0
3,N,261,117,22,N,0
3,Y,272,161,26,N,0
3,N,283,183,30,N,0
3,N,294,189,37,N,0
3,N,300,183,30,N,0
3,Y,283,167,27,N,0
3,Y,217,122,31,N,0
3,Y,200,117,22,N,0
3,N,222,106,36,N,0
3,N,133,56,55,N,0
3,N,211,33,47,N,0
3,N,233,89,55,N,0
3,N,167,39,26,N,0
3,Y,233,83,51,N,0
3,N,139,72,34,N,0
4,Y,261,78,35,N,0
4,N,206,100,61,N,0
4,N,294,106,24,N,0
4,N,206,89,48,N,0
4,N,150,44,55,N,0
4,N,161,17,40,N,0
4,N,200,11,16,N,0
4,N,189,83,45,N,0
4,N,189,67,52,N,0
4,N,111,0,53,N,0
4,N,133,-32,26,N,0
4,N,167,-21,8,N,0
4,N,189,28,30,N,0
4,Y,172,133,22,N,0
4,N,250,161,62,N,0
4,Y,233,72,64,N,0
4,N,178,33,19,N,0
4,N,217,44,22,N,0
4,N,256,100,32,N,0
4,Y,200,61,47,N,0
4,N,144,56,43,N,0
4,N,128,22,47,N,0
4,N,161,11,55,N,0
4,N,172,17,24,N,0
4,Y,233,89,35,N,0
4,N,183,44,53,N,0
4,N,156,11,42,N,0
4,Y,111,61,70,N,0
4,N,161,72,53,N,0
4,Y,250,133,31,N,0
5,Y,217,133,23,N,0
5,N,283,156,31,N,0
5,N,289,178,38,N,0
5,N,267,156,21,N,0
5,N,256,117,29,N,0
5,Y,289,133,34,N,0
5,Y,233,128,34,N,0
5,N,217,106,25,N,0
5,Y,178,50,29,N,0
5,N,200,33,24,N,0
5,N,239,33,9,N,0
5,N,244,106,14,N,0
5,N,250,94,28,N,0
5,N,261,106,15,N,0
5,N,278,67,18,N,0
5,N,228,100,47,N,0
5,N,228,67,33,N,0
5,N,278,89,22,N,0
5,N,317,144,14,N,0
5,Y,322,167,22,N,0
5,N,189,94,42,N,0
5,N,233,67,25,N,0
5,N,272,67,15,N,0
5,N,300,156,45,N,0
5,N,322,228,25,N,0
5,N,339,189,30,N,0
5,N,339,217,31,N,0
5,N,339,200,37,N,0
5,Y,289,156,21,N,0
5,N,244,106,38,N,0
5,Y,206,94,47,N,0
6,Y,172,89,42,N,0
6,N,217,72,34,N,0
6,N,272,100,25,N,0
6,Y,272,144,26,N,0
6,N,239,100,27,N,0
6,N,256,89,26,N,0
6,N,278,83,8,N,0
6,N,300,94,11,N,0
6,N,311,128,18,N,0
6,N,328,156,26,N,0
6,N,294,194,26,N,0
6,N,278,156,43,N,0
6,N,261,122,34,N,0
6,N,306,128,31,N,0
6,N,328,117,19,N,0
6,Y,333,178,31,N,0
6,Y,300,189,26,N,0
6,N,333,189,41,N,0
6,N,339,211,41,N,0
6,N,339,200,34,N,0
6,Y,322,172,27,N,0
6,N,294,150,19,N,0
6,N,300,122,9,N,0
6,N,322,183,17,N,0
6,N,283,150,51,N,0
6,N,278,111,27,N,0
6,N,322,117,26,N,0
6,N,383,200,37,N,0
6,Y,367,206,18,N,0
6,Y,?,?,?,N,0
7,N,?,?,?,N,0
7,N,339,183,12,N,0
7,N,339,189,18,N,0
7,N,378,228,21,N,0
7,N,383,228,22,N,0
7,N,389,222,14,N,0
7,N,394,228,19,N,0
7,Y,294,206,32,N,0
7,N,322,178,21,N,0
7,N,328,189,32,N,0
7,N,328,178,33,N,0
7,N,344,194,34,N,0
7,N,339,194,17,N,0
7,N,317,206,15,N,0
7,N,333,194,21,N,0
7,N,356,200,16,N,0
7,Y,367,222,16,N,0
7,N,383,222,25,N,0
7,Y,344,228,40,N,0
7,Y,283,189,34,N,0
7,N,311,156,10,N,0
7,N,344,200,10,N,0
7,N,378,233,34,N,0
7,N,322,239,26,N,0
7,N,383,206,33,N,0
7,N,333,233,37,N,0
7,N,328,172,33,N,0
7,N,300,161,32,N,0
7,N,311,128,15,N,0
7,N,333,178,13,N,0
7,N,344,200,27,N,0
8,N,328,161,19,N,0
8,N,356,133,20,N,0
8,N,356,183,22,N,0
8,Y,367,211,30,N,0
8,?,300,194,26,N,0
8,N,294,144,11,N,0
8,N,328,150,14,N,0
8,N,344,189,22,N,0
8,Y,283,183,15,N,0
8,Y,250,144,45,N,0
8,N,261,122,27,N,0
8,N,261,117,9,N,0
8,Y,256,161,21,N,0
8,N,261,167,16,N,0
8,N,294,150,11,N,0
8,Y,239,167,22,N,0
8,N,239,133,26,N,0
8,N,244,94,10,N,0
8,N,256,117,11,N,0
8,Y,250,106,17,N,0
8,N,261,106,5,N,0
8,N,278,106,7,N,0
8,N,306,139,12,N,0
8,N,311,156,14,N,0
8,N,328,150,9,N,0
8,Y,289,178,20,N,0
8,Y,289,172,23,N,0
8,N,283,133,13,N,0
8,N,289,150,15,N,0
8,N,300,150,17,N,0
8,N,283,161,13,N,0
9,Y,267,222,33,N,0
9,Y,244,217,49,N,0
9,N,300,211,30,N,0
9,N,311,189,8,N,0
9,Y,250,183,21,N,0
9,N,300,167,15,N,0
9,Y,228,167,23,N,0
9,N,217,122,36,N,0
9,N,222,100,26,N,0
9,N,244,83,7,N,0
9,N,261,106,18,N,0
9,N,278,122,18,N,0
9,N,261,167,19,N,0
9,Y,217,106,26,N,0
9,N,239,89,2,N,0
9,N,244,89,7,N,0
9,Y,239,106,9,N,0
9,Y,178,50,47,N,0
9,N,200,28,26,N,0
9,N,233,89,29,N,0
9,Y,189,61,15,N,0
9,N,139,39,35,N,0
9,N,167,17,16,N,0
9,N,200,6,17,N,0
9,Y,211,111,14,N,0
9,Y,194,139,19,N,0
9,N,228,100,15,N,0
9,N,200,89,15,N,0
9,N,228,72,13,N,0
9,N,206,56,23,N,0
10,Y,161,72,31,N,0
10,Y,150,111,39,N,0
10,Y,200,133,22,N,0
10,Y,256,111,31,N,0
10,Y,111,28,22,N,0
10,N,100,0,28,N,0
10,N,83,-5,18,N,0
10,N,133,-27,17,N,0
10,N,167,39,34,N,0
10,Y,111,6,41,N,0
10,N,161,-10,23,N,0
10,N,139,44,38,N,0
10,Y,200,50,30,N,0
10,Y,228,111,73,N,0
10,N,150,44,36,N,0
10,N,200,22,29,N,0
10,Y,206,133,47,N,0
10,Y,150,72,43,N,0
10,Y,94,67,36,N,0
10,N,128,33,26,N,0
10,N,206,22,20,N,0
10,Y,217,111,18,N,0
10,Y,189,144,16,N,0
10,N,250,133,26,N,0
10,Y,250,78,51,N,0
10,Y,94,28,49,N,0
10,N,106,6,43,N,0
10,N,89,11,43,N,0
10,N,111,11,66,N,0
10,N,67,33,78,N,0
10,N,67,17,51,N,0
11,N,117,-32,26,N,0
11,N,106,0,30,N,0
11,Y,44,6,23,N,0
11,N,78,-38,7,N,0
11,N,72,-60,16,N,0
11,Y,83,-49,9,N,0
11,Y,94,6,19,N,0
11,N,72,-16,8,N,0
11,N,167,-10,26,N,0
11,N,211,72,35,N,0
11,Y,200,111,63,N,0
11,Y,111,-5,49,N,0
11,N,39,-43,15,N,0
11,N,56,-43,13,N,0
11,N,78,-55,0,N,0
11,N,106,-55,5,N,0
11,N,122,-43,19,N,0
11,N,144,-32,16,N,0
11,N,139,-5,6,N,0
11,N,133,83,11,N,0
11,N,144,22,4,N,0
11,Y,161,22,28,N,0
11,Y,117,-32,70,N,0
11,N,-5,-38,25,N,0
11,N,72,-32,27,N,0
11,N,56,-32,21,N,0
11,N,22,-66,11,N,0
11,N,61,-55,13,N,0
11,N,94,-43,23,N,0
11,N,133,11,22,N,0
12,N,167,6,30,N,0
12,Y,172,111,28,N,0
12,N,211,128,43,N,0
12,Y,172,33,29,N,0
12,N,61,-10,27,N,0
12,N,83,-32,21,N,0
12,Y,83,50,15,Y,0
12,Y,72,28,25,N,0
12,Y,100,33,47,N,0
12,N,44,-21,50,N,0
12,N,17,-38,33,N,0
12,N,61,-60,10,N,0
12,N,83,-21,26,N,0
12,N,100,-21,14,N,0
12,Y,122,39,41,N,0
12,N,122,44,37,N,0
12,Y,44,17,20,N,0
12,Y,67,6,37,N,0
12,Y,56,17,34,N,0
12,Y,122,-5,82,N,0
12,N,-5,-55,85,Y,0
12,N,-10,-99,22,N,0
12,N,39,-77,16,N,0
12,N,6,-32,31,N,0
12,N,17,-32,46,N,0
12,Y,-5,-21,71,N,0
12,N,-5,-27,19,Y,0
12,Y,-5,-16,21,N,0
12,Y,-5,-60,46,Y,0
12,N,-16,-110,31,N,0
12,Y,11,-32,34,N,0
1,N,-21,-116,22,N,0
1,N,-60,-166,9,N,0
1,N,-10,-105,36,N,0
1,N,-10,-110,38,N,0
1,N,11,-82,22,N,0
1,N,17,-55,41,N,0
1,N,11,-99,22,N,0
1,N,50,-55,19,N,0
1,N,94,-32,30,N,0
1,Y,72,-49,38,N,0
1,Y,133,72,48,N,0
1,Y,150,33,34,N,0
1,Y,39,-82,47,N,0
1,N,-60,-110,19,N,0
1,N,-21,-99,25,N,0
1,N,22,-77,25,N,0
1,N,22,-60,28,N,0
1,N,39,-77,37,N,0
1,N,106,22,57,N,0
1,N,50,-77,61,N,0
1,N,-71,-143,62,N,0
1,N,-93,-166,43,N,0
1,N,-55,-127,19,N,0
1,N,-49,-132,43,N,0
1,Y,-27,-77,27,N,0
1,N,-10,-116,17,N,0
1,Y,28,-71,39,N,0
1,Y,106,28,33,N,0
1,Y,183,106,54,N,0
1,Y,183,-43,70,N,0
1,N,-38,-138,88,N,0
2,N,-77,-160,52,N,0
2,Y,-27,-105,39,N,0
2,N,-43,-132,28,N,0
2,N,39,-60,30,N,0
2,N,17,-66,27,N,0
2,N,28,-27,26,N,0
2,Y,111,-16,34,N,0
2,N,11,-21,48,N,0
2,N,44,-27,26,N,0
2,Y,106,0,46,N,0
2,N,106,-16,81,N,0
2,N,6,-49,26,N,0
2,N,83,-55,17,N,0
2,N,67,-5,41,N,0
2,Y,6,-55,27,N,0
2,N,-43,-88,44,N,0
2,N,-5,-143,17,N,0
2,Y,122,-32,56,N,0
2,Y,56,-77,93,N,0
2,N,-38,-132,40,N,0
2,Y,-16,-93,48,N,0
2,Y,17,-32,47,Y,0
2,N,-10,-43,39,N,0
2,N,33,-88,13,N,0
2,N,61,-60,41,N,0
2,Y,17,-5,61,N,0
2,Y,56,-5,42,N,0
2,N,28,-5,51,N,0
3,N,11,-21,42,N,0
3,N,-5,-32,38,N,0
3,N,11,-82,22,N,0
3,Y,28,-77,38,N,0
3,Y,17,-21,51,N,0
3,Y,-5,-21,51,Y,0
3,N,17,-55,12,N,0
3,N,33,-82,22,N,0
3,Y,83,-16,34,N,0
3,Y,189,67,43,N,0
3,Y,111,6,50,N,0
3,Y,50,-10,60,N,0
3,N,6,-55,55,N,0
3,N,39,-66,24,N,0
3,N,100,-32,16,N,0
3,N,61,-5,42,N,0
3,N,44,-10,60,N,0
3,Y,33,-32,60,N,0
3,N,39,-60,77,N,0
3,N,-16,-66,60,N,0
3,N,17,-99,33,N,0
3,N,56,-93,9,N,0
3,N,78,-10,34,N,0
3,Y,11,-16,73,N,0
3,Y,17,-21,57,Y,0
3,N,22,-10,45,N,0
3,N,44,-60,27,N,0
3,N,78,-49,14,N,0
3,N,122,-32,9,N,0
3,N,133,-27,14,N,0
3,Y,167,33,42,N,0
4,N,67,-21,48,N,0
4,N,72,-55,34,N,0
4,N,83,-60,17,N,0
4,N,139,-21,13,N,0
4,N,133,-5,40,N,0
4,N,211,22,56,N,0
4,Y,211,89,43,N,0
4,Y,233,100,51,N,0
4,N,261,117,42,N,0
4,Y,222,83,42,N,0
4,Y,172,56,43,N,0
4,Y,56,28,58,N,0
4,N,83,28,41,N,0
4,N,217,44,41,N,0
4,Y,189,122,35,N,0
4,Y,122,78,34,N,0
4,Y,217,72,44,N,0
4,Y,228,67,46,N,0
4,Y,67,11,68,N,0
4,N,72,-10,37,N,0
4,N,111,-10,43,N,0
4,N,183,11,27,N,0
4,Y,178,44,33,N,0
4,Y,89,22,44,N,0
4,N,106,17,39,N,0
4,N,172,11,21,N,0
4,Y,172,39,27,N,0
4,Y,156,111,19,N,0
4,N,211,117,26,N,0
4,N,267,122,36,N,0
5,N,267,122,22,N,0
5,N,267,100,33,N,0
5,Y,228,83,34,N,0
5,N,206,100,33,N,0
5,N,183,111,33,N,0
5,N,217,122,38,N,0
5,N,239,117,21,N,0
5,Y,256,111,11,N,0
5,Y,239,111,19,N,0
5,N,194,61,35,N,0
5,N,178,44,43,N,0
5,N,133,11,38,N,0
5,N,178,-5,21,N,0
5,N,283,106,43,N,0
5,Y,283,189,47,N,0
5,Y,272,144,9,N,0
5,N,272,156,20,N,0
5,N,256,144,19,N,0
5,N,300,144,21,N,0
5,N,294,217,40,N,0
5,Y,294,172,49,N,0
5,Y,250,156,36,N,0
5,Y,167,50,51,N,0
5,N,189,11,29,N,0
5,N,156,28,12,N,0
5,Y,178,56,24,N,0
5,Y,244,133,29,N,0
5,Y,267,172,37,N,0
5,N,289,206,41,N,0
5,N,294,206,48,N,0
5,Y,244,178,39,N,0
6,Y,233,156,39,N,0
6,Y,194,111,31,N,0
6,N,206,72,25,N,0
6,N,233,89,30,N,0
6,N,261,122,34,N,0
6,N,256,150,39,N,0
6,N,233,122,19,N,0
6,N,261,100,8,N,0
6,Y,278,161,24,N,0
6,Y,256,178,24,N,0
6,Y,289,156,17,N,0
6,Y,322,200,26,N,0
6,Y,250,150,45,N,0
6,N,256,111,11,N,0
6,N,261,150,13,N,0
6,Y,261,189,33,N,0
6,N,294,189,7,N,0
6,N,283,172,30,N,0
6,N,267,156,31,N,0
6,N,306,161,17,N,0
6,Y,311,167,26,N,0
6,Y,289,178,16,N,0
6,Y,294,172,24,N,0
6,Y,289,189,21,N,0
6,Y,311,194,26,N,0
6,Y,267,194,23,N,0
6,N,311,211,36,N,0
6,Y,294,172,41,N,0
6,Y,217,156,15,N,0
6,Y,239,172,44,N,0
7,N,239,172,51,N,0
7,N,206,161,37,N,0
7,N,239,161,16,N,0
7,N,256,139,8,N,0
7,N,278,172,16,N,0
7,Y,228,194,16,N,0
7,N,283,172,22,N,0
7,Y,294,206,22,N,0
7,N,317,239,22,N,0
7,Y,283,189,30,N,0
7,N,261,139,30,N,0
7,N,278,117,20,N,0
7,N,283,150,34,N,0
7,N,311,189,23,N,0
7,N,317,217,17,N,0
7,N,328,200,10,N,0
7,N,333,206,9,N,0
7,N,333,211,12,N,0
7,N,339,228,30,N,0
7,Y,306,211,16,N,0
7,N,283,189,9,N,0
7,Y,283,206,13,N,0
7,Y,289,156,36,N,0
7,N,233,122,34,N,0
7,N,256,117,4,N,0
7,N,256,133,19,N,0
7,N,239,117,38,N,0
7,N,222,89,28,N,0
7,N,256,94,13,N,0
7,Y,217,133,16,N,0
7,Y,244,178,16,N,0
8,N,278,144,29,N,0
8,Y,289,128,30,N,0
8,Y,278,144,23,N,0
8,N,256,117,13,N,0
8,Y,261,139,13,N,0
8,N,272,189,12,N,0
8,N,283,206,19,N,0
8,Y,250,200,29,N,0
8,N,278,161,15,N,0
8,N,289,178,14,N,0
8,N,283,156,11,N,0
8,Y,283,156,15,N,0
8,N,222,117,36,N,0
