MONTH,PRCP,TMAX,TMIN,WIND,SNOW
5,0,250,122,55,N
5,0,317,183,31,N
5,0,322,189,26,N
5,28,306,189,30,N
5,0,283,128,26,N
5,23,217,106,29,N
5,46,133,78,53,N
5,0,156,56,49,N
5,0,156,61,42,N
5,3,172,100,11,N
5,0,233,100,15,N
5,0,272,89,10,N
5,41,244,156,18,N
5,13,294,161,37,N
5,0,300,183,47,N
5,5,289,167,23,N
5,25,250,167,30,N
5,30,172,83,41,N
5,10,156,94,15,N
5,10,211,133,28,N
5,10,289,178,23,N
5,25,328,206,36,N
5,3,328,222,38,N
6,0,300,167,28,N
6,0,272,133,15,N
6,0,311,194,31,N
6,48,361,211,31,N
6,13,278,172,12,N
6,0,322,161,20,N
6,0,344,228,26,N
6,0,350,217,31,N
6,86,294,194,42,N
6,124,322,194,34,N
6,20,261,150,29,N
6,0,222,117,38,N
6,0,244,133,26,N
6,0,267,144,28,N
6,320,244,150,44,N
6,3,294,161,31,N
6,0,306,167,12,N
6,5,278,200,21,N
6,0,272,194,11,N
6,798,256,189,33,N
6,89,306,217,40,N
6,0,267,200,43,N
6,20,217,172,43,N
6,0,200,167,37,N
6,23,261,161,14,N
6,13,261,189,31,N
6,58,283,189,37,N
6,0,272,161,27,N
6,3,283,144,10,N
6,30,300,156,21,N
7,56,233,189,20,N
7,511,333,200,24,N
7,0,311,194,13,N
7,0,289,178,25,N
7,0,300,150,4,N
7,0,317,189,13,N
7,51,306,200,16,N
7,0,306,206,24,N
7,0,311,183,17,N
7,0,317,194,16,N
7,0,350,239,20,N
7,0,328,222,16,N
7,0,272,183,35,N
7,0,278,167,27,N
7,0,306,189,22,N
7,0,311,172,4,N
7,0,339,206,9,N
7,0,344,239,30,N
7,0,361,261,24,N
7,0,367,256,19,N
7,0,383,244,22,N
7,0,367,256,17,N
7,20,350,256,17,N
7,188,300,217,17,N
7,3,317,206,17,N
7,3,328,200,15,N
7,0,333,211,30,N
7,0,350,244,25,N
7,30,300,233,19,N
7,0,333,222,13,N
7,3,350,200,9,N
8,0,339,200,13,N
8,0,350,239,27,N
8,23,317,194,39,N
8,0,311,167,20,N
8,0,322,211,14,N
8,0,322,222,22,N
8,254,328,217,19,N
8,361,306,200,11,N
8,0,311,178,37,N
8,3,261,156,24,N
8,0,272,167,?,N
8,0,283,139,11,N
8,213,311,172,15,N
8,0,250,167,39,N
8,3,272,144,17,N
8,3,278,122,5,N
8,0,300,156,8,N
8,0,311,189,6,N
8,3,317,194,8,N
8,5,300,183,11,N
8,84,283,172,17,N
8,3,283,139,9,N
8,112,278,150,22,N
8,193,333,211,35,N
8,0,283,156,28,N
8,3,283,128,9,N
8,0,300,150,21,N
8,0,261,161,29,N
8,0,272,156,16,N
8,0,272,133,23,N
8,0,328,189,26,N
9,0,361,228,21,N
9,0,367,222,16,N
9,46,361,200,16,N
9,13,244,144,27,N
9,0,200,117,52,N
9,0,200,83,51,N
9,0,233,111,52,N
9,94,183,139,39,N
9,46,228,161,9,N
9,3,239,144,10,N
9,3,272,133,4,N
9,3,306,150,16,N
9,0,306,156,32,N
9,69,222,117,28,N
9,0,178,56,35,N
9,0,183,78,33,N
9,0,222,117,38,N
9,13,217,133,31,N
9,183,211,161,21,N
9,0,256,122,5,N
9,3,261,111,26,N
9,13,211,100,13,N
9,0,200,122,20,N
9,112,178,111,24,N
9,208,172,122,28,N
9,23,178,122,36,N
9,86,139,122,41,N
9,38,183,122,24,N
9,13,256,89,41,N
9,3,167,61,60,N
10,0,156,33,37,N
10,0,200,11,17,N
10,0,244,28,20,N
10,0,256,50,6,N
10,0,278,78,0,N
10,0,283,94,13,N
10,0,300,106,14,N
10,0,289,106,14,N
10,0,283,111,12,N
10,0,272,100,14,N
10,0,283,100,14,N
10,0,250,111,22,N
10,79,183,128,27,N
10,0,178,89,59,N
10,0,178,72,60,N
10,0,206,78,36,N
10,13,161,22,36,N
10,53,89,72,13,N
10,320,89,72,67,N
10,94,83,56,72,N
10,0,133,11,21,N
10,0,189,-10,11,N
10,0,211,61,14,N
10,13,183,61,26,N
10,0,244,56,39,N
10,30,217,94,39,N
10,25,106,17,31,N
10,0,133,-5,3,N
10,0,144,0,24,N
10,0,161,-16,37,N
10,5,150,17,17,N
11,0,206,0,23,N
11,0,211,94,33,N
11,66,122,56,37,N
11,0,128,22,42,N
11,0,156,6,30,N
11,0,178,56,39,N
11,89,150,111,15,N
11,5,217,122,34,N
11,74,178,28,71,N
11,3,56,-5,50,N
11,0,83,-27,27,N
11,0,172,50,44,N
11,5,211,133,70,N
11,236,222,78,26,N
11,0,161,72,26,N
11,0,122,22,41,N
11,0,44,-27,39,N
11,0,106,-27,44,N
11,0,167,83,57,N
11,8,167,50,41,N
11,3,106,50,50,N
11,249,72,61,55,N
11,3,106,6,17,N
11,0,89,39,40,N
11,0,167,44,41,N
11,43,189,111,47,N
11,147,144,44,41,N
11,51,44,28,51,N
11,444,39,6,68,N
11,0,44,-27,?,13
12,0,72,-49,15,N
12,0,83,-10,25,N
12,0,133,22,30,N
12,140,117,33,41,N
12,84,56,22,39,N
12,0,28,-21,41,N
12,0,28,-43,32,N
12,0,28,-49,14,N
12,5,11,-66,28,5
12,0,-16,-99,21,N
12,0,50,-66,17,N
12,0,83,-55,6,N
12,23,78,0,10,N
12,213,139,61,38,N
12,84,156,11,64,N
12,0,33,-49,21,N
12,0,17,-43,19,N
12,0,83,-43,23,N
12,20,117,56,34,N
12,102,83,28,34,N
12,5,89,56,29,N
12,0,67,0,11,N
12,0,39,-10,31,N
12,0,44,-38,27,N
12,0,78,-21,44,N
12,0,83,-43,15,N
12,76,33,6,34,3
12,0,11,-49,21,N
12,0,111,11,37,N
12,86,94,28,36,N
12,3,61,22,35,N
1,3,100,-5,87,N
1,0,-5,-66,75,N
1,0,-27,-105,38,N
1,0,78,-32,36,N
1,0,106,-43,24,N
1,0,139,44,31,N
1,0,83,-16,29,N
1,0,67,-38,10,N
1,0,94,-49,20,N
1,0,117,-21,16,N
1,28,72,-10,25,N
1,5,44,-88,55,N
1,0,-66,-105,63,114
1,0,-49,-143,11,N
1,0,0,-149,26,N
1,0,139,-21,34,N
1,371,150,-38,65,N
1,0,-16,-93,32,N
1,10,-5,-160,39,N
1,33,-71,-182,46,43
1,3,-49,-93,46,63
1,3,89,-82,49,N
1,132,111,11,70,N
1,0,28,-32,35,N
1,0,11,-49,18,N
1,?,22,6,29,N
1,0,56,11,33,N
1,0,28,-10,59,N
1,0,33,-49,48,N
1,0,139,-49,38,N
1,0,161,83,50,N
2,0,133,0,24,N
2,0,94,-32,5,N
2,0,128,-32,21,N
2,71,56,17,56,N
2,0,89,-27,10,N
2,0,22,-38,22,N
2,0,22,-5,25,N
2,15,17,-27,29,Y
2,0,17,-55,30,N
2,23,17,-66,43,N
2,0,-55,-110,60,N
2,0,22,-93,51,N
2,10,22,-82,25,N
2,23,22,-16,18,46
2,25,56,11,26,N
2,18,89,-16,26,N
2,0,106,-43,23,N
2,0,61,-21,42,N
2,0,44,-49,37,N
2,0,67,-66,31,N
2,25,78,11,46,N
2,3,128,0,25,N
2,28,78,-21,34,N
2,0,61,-10,71,N
2,0,0,-60,48,N
2,0,117,-66,42,N
2,0,78,-32,42,N
2,71,194,50,72,N
3,0,89,22,44,N
3,191,161,17,60,N
3,0,22,0,65,N
3,0,44,-16,46,N
3,0,44,-43,41,N
3,0,200,-5,56,N
3,0,206,117,72,N
3,36,189,6,59,N
3,0,72,-21,50,N
3,0,144,-43,32,N
3,0,211,0,22,N
3,28,239,122,55,N
3,0,239,61,16,N
3,0,278,111,32,N
3,0,278,167,36,N
3,0,272,144,25,N
3,0,261,117,22,N
3,5,272,161,26,N
3,0,283,183,30,N
3,0,294,189,37,N
3,0,300,183,30,N
3,3,283,167,27,N
3,170,217,122,31,N
3,3,200,117,22,N
3,0,222,106,36,N
3,0,133,56,55,N
3,0,211,33,47,N
3,0,233,89,55,N
3,0,167,39,26,N
3,53,233,83,51,N
3,0,139,72,34,N
4,69,261,78,35,N
4,0,206,100,61,N
4,0,294,106,24,N
4,0,206,89,48,N
4,0,150,44,55,N
4,0,161,17,40,N
4,0,200,11,16,N
4,0,189,83,45,N
4,0,189,67,52,N
4,0,111,0,53,N
4,0,133,-32,26,N
4,0,167,-21,8,N
4,0,189,28,30,N
4,97,172,133,22,N
4,0,250,161,62,N
4,124,233,72,64,N
4,0,178,33,19,N
4,0,217,44,22,N
4,0,256,100,32,N
4,28,200,61,47,N
4,0,144,56,43,N
4,0,128,22,47,N
4,0,161,11,55,N
4,0,172,17,24,N
4,53,233,89,35,N
4,0,183,44,53,N
4,0,156,11,42,N
4,56,111,61,70,N
4,0,161,72,53,N
4,155,250,133,31,N
5,221,217,133,23,N
5,0,283,156,31,N
5,0,289,178,38,N
5,0,267,156,21,N
5,0,256,117,29,N
5,180,289,133,34,N
5,193,233,128,34,N
5,0,217,106,25,N
5,15,178,50,29,N
5,0,200,33,24,N
5,0,239,33,9,N
5,0,244,106,14,N
5,0,250,94,28,N
5,0,261,106,15,N
5,0,278,67,18,N
5,0,228,100,47,N
5,0,228,67,33,N
5,0,278,89,22,N
5,0,317,144,14,N
5,36,322,167,22,N
5,0,189,94,42,N
5,0,233,67,25,N
5,0,272,67,15,N
5,0,300,156,45,N
5,0,322,228,25,N
5,0,339,189,30,N
5,0,339,217,31,N
5,0,339,200,37,N
5,10,289,156,21,N
5,0,244,106,38,N
5,104,206,94,47,N
6,13,172,89,42,N
6,0,217,72,34,N
6,0,272,100,25,N
6,5,272,144,26,N
6,0,239,100,27,N
6,0,256,89,26,N
6,0,278,83,8,N
6,0,300,94,11,N
6,0,311,128,18,N
6,0,328,156,26,N
6,0,294,194,26,N
6,0,278,156,43,N
6,0,261,122,34,N
6,0,306,128,31,N
6,0,328,117,19,N
6,15,333,178,31,N
6,23,300,189,26,N
6,0,333,189,41,N
6,0,339,211,41,N
6,0,339,200,34,N
6,23,322,172,27,N
6,0,294,150,19,N
6,0,300,122,9,N
6,0,322,183,17,N
6,0,283,150,51,N
6,0,278,111,27,N
6,0,322,117,26,N
6,0,383,200,37,N
6,127,367,206,18,N
6,79,?,?,?,N
7,0,?,?,?,N
7,0,339,183,12,N
7,0,339,189,18,N
7,0,378,228,21,N
7,0,383,228,22,N
7,0,389,222,14,N
7,0,394,228,19,N
7,3,294,206,32,N
7,0,322,178,21,N
7,0,328,189,32,N
7,0,328,178,33,N
7,0,344,194,34,N
7,0,339,194,17,N
7,0,317,206,15,N
7,0,333,194,21,N
7,0,356,200,16,N
7,41,367,222,16,N
7,0,383,222,25,N
7,178,344,228,40,N
7,10,283,189,34,N
7,0,311,156,10,N
7,0,344,200,10,N
7,0,378,233,34,N
7,0,322,239,26,N
7,0,383,206,33,N
7,0,333,233,37,N
7,0,328,172,33,N
7,0,300,161,32,N
7,0,311,128,15,N
7,0,333,178,13,N
7,0,344,200,27,N
8,0,328,161,19,N
8,0,356,133,20,N
8,0,356,183,22,N
8,13,367,211,30,N
8,?,300,194,26,N
8,0,294,144,11,N
8,0,328,150,14,N
8,0,344,189,22,N
8,91,283,183,15,N
8,28,250,144,45,N
8,0,261,122,27,N
8,0,261,117,9,N
8,137,256,161,21,N
8,0,261,167,16,N
8,0,294,150,11,N
8,307,239,167,22,N
8,0,239,133,26,N
8,0,244,94,10,N
8,0,256,117,11,N
8,46,250,106,17,N
8,0,261,106,5,N
8,0,278,106,7,N
8,0,306,139,12,N
8,0,311,156,14,N
8,0,328,150,9,N
8,213,289,178,20,N
8,419,289,172,23,N
8,0,283,133,13,N
8,0,289,150,15,N
8,0,300,150,17,N
8,0,283,161,13,N
9,295,267,222,33,N
9,122,244,217,49,N
9,0,300,211,30,N
9,0,311,189,8,N
9,46,250,183,21,N
9,0,300,167,15,N
9,254,228,167,23,N
9,0,217,122,36,N
9,0,222,100,26,N
9,0,244,83,7,N
9,0,261,106,18,N
9,0,278,122,18,N
9,0,261,167,19,N
9,79,217,106,26,N
9,0,239,89,2,N
9,0,244,89,7,N
9,18,239,106,9,N
9,3,178,50,47,N
9,0,200,28,26,N
9,0,233,89,29,N
9,107,189,61,15,N
9,0,139,39,35,N
9,0,167,17,16,N
9,0,200,6,17,N
9,3,211,111,14,N
9,74,194,139,19,N
9,0,228,100,15,N
9,0,200,89,15,N
9,0,228,72,13,N
9,0,206,56,23,N
10,13,161,72,31,N
10,51,150,111,39,N
10,5,200,133,22,N
10,8,256,111,31,N
10,218,111,28,22,N
10,0,100,0,28,N
10,0,83,-5,18,N
10,0,133,-27,17,N
10,0,167,39,34,N
10,3,111,6,41,N
10,0,161,-10,23,N
10,0,139,44,38,N
10,191,200,50,30,N
10,43,228,111,73,N
10,0,150,44,36,N
10,0,200,22,29,N
10,137,206,133,47,N
10,119,150,72,43,N
10,76,94,67,36,N
10,0,128,33,26,N
10,0,206,22,20,N
10,97,217,111,18,N
10,389,189,144,16,N
10,0,250,133,26,N
10,5,250,78,51,N
10,58,94,28,49,N
10,0,106,6,43,N
10,0,89,11,43,N
10,0,111,11,66,N
10,0,67,33,78,N
10,0,67,17,51,N
11,0,117,-32,26,N
11,0,106,0,30,N
11,20,44,6,23,N
11,0,78,-38,7,N
11,0,72,-60,16,N
11,20,83,-49,9,N
11,8,94,6,19,N
11,0,72,-16,8,N
11,0,167,-10,26,N
11,0,211,72,35,N
11,3,200,111,63,N
11,122,111,-5,49,N
11,0,39,-43,15,N
11,0,56,-43,13,N
11,0,78,-55,0,N
11,0,106,-55,5,N
11,0,122,-43,19,N
11,0,144,-32,16,N
11,0,139,-5,6,N
11,0,133,83,11,N
11,0,144,22,4,N
11,28,161,22,28,N
11,3,117,-32,70,N
11,0,-5,-38,25,N
11,0,72,-32,27,N
11,0,56,-32,21,N
11,0,22,-66,11,N
11,0,61,-55,13,N
11,0,94,-43,23,N
11,0,133,11,22,N
12,0,167,6,30,N
12,36,172,111,28,N
12,0,211,128,43,N
12,41,172,33,29,N
12,0,61,-10,27,N
12,0,83,-32,21,N
12,56,83,50,15,8
12,3,72,28,25,N
12,64,100,33,47,N
12,0,44,-21,50,N
12,0,17,-38,33,N
12,0,61,-60,10,N
12,0,83,-21,26,N
12,0,100,-21,14,N
12,53,122,39,41,N
12,0,122,44,37,N
12,15,44,17,20,N
12,5,67,6,37,N
12,41,56,17,34,N
12,277,122,-5,82,N
12,0,-5,-55,85,8
12,0,-10,-99,22,N
12,0,39,-77,16,N
12,0,6,-32,31,N
12,0,17,-32,46,N
12,36,-5,-21,71,N
12,0,-5,-27,19,58
12,5,-5,-16,21,N
12,10,-5,-60,46,15
12,0,-16,-110,31,N
12,5,11,-32,34,N
1,0,-21,-116,22,N
1,0,-60,-166,9,N
1,0,-10,-105,36,N
1,0,-10,-110,38,N
1,0,11,-82,22,N
1,0,17,-55,41,N
1,0,11,-99,22,N
1,0,50,-55,19,N
1,0,94,-32,30,N
1,117,72,-49,38,N
1,109,133,72,48,N
1,135,150,33,34,N
1,163,39,-82,47,N
1,0,-60,-110,19,N
1,0,-21,-99,25,N
1,0,22,-77,25,N
1,0,22,-60,28,N
1,0,39,-77,37,N
1,0,106,22,57,N
1,0,50,-77,61,N
1,0,-71,-143,62,N
1,0,-93,-166,43,N
1,0,-55,-127,19,N
1,0,-49,-132,43,N
1,10,-27,-77,27,N
1,0,-10,-116,17,N
1,23,28,-71,39,N
1,10,106,28,33,N
1,114,183,106,54,N
1,251,183,-43,70,N
1,0,-38,-138,88,N
2,0,-77,-160,52,N
2,3,-27,-105,39,N
2,0,-43,-132,28,N
2,0,39,-60,30,N
2,0,17,-66,27,N
2,0,28,-27,26,N
2,25,111,-16,34,N
2,0,11,-21,48,N
2,0,44,-27,26,N
2,56,106,0,46,N
2,0,106,-16,81,N
2,0,6,-49,26,N
2,0,83,-55,17,N
2,0,67,-5,41,N
2,8,6,-55,27,N
2,0,-43,-88,44,N
2,0,-5,-143,17,N
2,84,122,-32,56,N
2,13,56,-77,93,N
2,0,-38,-132,40,N
2,25,-16,-93,48,N
2,25,17,-32,47,8
2,0,-10,-43,39,N
2,0,33,-88,13,N
2,0,61,-60,41,N
2,335,17,-5,61,N
2,5,56,-5,42,N
2,0,28,-5,51,N
3,0,11,-21,42,N
3,0,-5,-32,38,N
3,0,11,-82,22,N
3,3,28,-77,38,N
3,135,17,-21,51,N
3,5,-5,-21,51,15
3,0,17,-55,12,N
3,0,33,-82,22,N
3,8,83,-16,34,N
3,10,189,67,43,N
3,13,111,6,50,N
3,3,50,-10,60,N
3,0,6,-55,55,N
3,0,39,-66,24,N
3,0,100,-32,16,N
3,0,61,-5,42,N
3,0,44,-10,60,N
3,8,33,-32,60,N
3,0,39,-60,77,N
3,0,-16,-66,60,N
3,0,17,-99,33,N
3,0,56,-93,9,N
3,0,78,-10,34,N
3,109,11,-16,73,N
3,23,17,-21,57,208
3,0,22,-10,45,N
3,0,44,-60,27,N
3,0,78,-49,14,N
3,0,122,-32,9,N
3,0,133,-27,14,N
3,3,167,33,42,N
4,0,67,-21,48,N
4,0,72,-55,34,N
4,0,83,-60,17,N
4,0,139,-21,13,N
4,0,133,-5,40,N
4,0,211,22,56,N
4,3,211,89,43,N
4,5,233,100,51,N
4,0,261,117,42,N
4,396,222,83,42,N
4,142,172,56,43,N
4,3,56,28,58,N
4,0,83,28,41,N
4,0,217,44,41,N
4,18,189,122,35,N
4,282,122,78,34,N
4,173,217,72,44,N
4,688,228,67,46,N
4,46,67,11,68,N
4,0,72,-10,37,N
4,0,111,-10,43,N
4,0,183,11,27,N
4,211,178,44,33,N
4,74,89,22,44,N
4,0,106,17,39,N
4,0,172,11,21,N
4,28,172,39,27,N
4,53,156,111,19,N
4,0,211,117,26,N
4,0,267,122,36,N
5,0,267,122,22,N
5,0,267,100,33,N
5,10,228,83,34,N
5,0,206,100,33,N
5,0,183,111,33,N
5,0,217,122,38,N
5,0,239,117,21,N
5,5,256,111,11,N
5,163,239,111,19,N
5,0,194,61,35,N
5,0,178,44,43,N
5,0,133,11,38,N
5,0,178,-5,21,N
5,0,283,106,43,N
5,8,283,189,47,N
5,20,272,144,9,N
5,0,272,156,20,N
5,0,256,144,19,N
5,0,300,144,21,N
5,0,294,217,40,N
5,25,294,172,49,N
5,13,250,156,36,N
5,8,167,50,51,N
5,0,189,11,29,N
5,0,156,28,12,N
5,102,178,56,24,N
5,318,244,133,29,N
5,5,267,172,37,N
5,0,289,206,41,N
5,0,294,206,48,N
5,104,244,178,39,N
6,109,233,156,39,N
6,3,194,111,31,N
6,0,206,72,25,N
6,0,233,89,30,N
6,0,261,122,34,N
6,0,256,150,39,N
6,0,233,122,19,N
6,0,261,100,8,N
6,18,278,161,24,N
6,38,256,178,24,N
6,3,289,156,17,N
6,20,322,200,26,N
6,173,250,150,45,N
6,0,256,111,11,N
6,0,261,150,13,N
6,3,261,189,33,N
6,0,294,189,7,N
6,0,283,172,30,N
6,0,267,156,31,N
6,0,306,161,17,N
6,231,311,167,26,N
6,23,289,178,16,N
6,3,294,172,24,N
6,23,289,189,21,N
6,43,311,194,26,N
6,150,267,194,23,N
6,0,311,211,36,N
6,53,294,172,41,N
6,99,217,156,15,N
6,94,239,172,44,N
7,0,239,172,51,N
7,0,206,161,37,N
7,0,239,161,16,N
7,0,256,139,8,N
7,0,278,172,16,N
7,117,228,194,16,N
7,0,283,172,22,N
7,3,294,206,22,N
7,0,317,239,22,N
7,130,283,189,30,N
7,0,261,139,30,N
7,0,278,117,20,N
7,0,283,150,34,N
7,0,311,189,23,N
7,0,317,217,17,N
7,0,328,200,10,N
7,0,333,206,9,N
7,0,333,211,12,N
7,0,339,228,30,N
7,25,306,211,16,N
7,0,283,189,9,N
7,340,283,206,13,N
7,3,289,156,36,N
7,0,233,122,34,N
7,0,256,117,4,N
7,0,256,133,19,N
7,0,239,117,38,N
7,0,222,89,28,N
7,0,256,94,13,N
7,25,217,133,16,N
7,30,244,178,16,N
8,0,278,144,29,N
8,51,289,128,30,N
8,127,278,144,23,N
8,0,256,117,13,N
8,8,261,139,13,N
8,0,272,189,12,N
8,0,283,206,19,N
8,132,250,200,29,N
8,0,278,161,15,N
8,0,289,178,14,N
8,0,283,156,11,N
8,122,283,156,15,N
8,0,222,117,36,N
8,0,222,89,21,N
8,0,233,83,10,N
8,3,250,144,10,N
8,0,261,139,26,N
8,0,283,150,11,N
8,0,283,144,3,N
8,0,300,156,9,N
8,0,311,172,14,N
8,0,239,178,15,N
8,0,278,161,17,N
8,0,294,139,20,N
8,0,306,139,12,N
8,0,328,161,16,N
8,0,328,200,26,N
8,0,333,222,37,N
8,0,317,211,18,N
8,89,339,189,15,N
8,0,306,183,18,N
9,0,250,189,15,N
9,0,283,167,30,N
9,0,244,111,13,N
9,0,289,100,16,N
9,0,283,144,13,N
9,0,294,139,19,N
9,0,311,161,17,N
9,0,311,189,19,N
9,0,339,183,27,N
9,0,356,217,18,N
9,0,356,217,29,N
9,203,289,156,34,N
9,0,200,100,38,N
9,0,217,50,9,N
9,79,239,83,13,N
9,0,194,100,31,N
9,0,233,89,31,N
9,0,278,139,18,N
9,561,289,178,32,N
9,86,239,150,29,N
9,0,211,100,32,N
9,0,206,67,19,N
9,0,228,67,27,N
9,0,239,83,38,N
9,0,250,111,25,N
9,0,256,89,16,N
9,0,267,94,14,N
9,0,278,100,27,N
9,69,222,122,24,N
9,0,239,100,12,N
10,0,256,150,20,N
10,0,244,156,6,N
10,79,272,178,27,N
10,0,283,183,21,N
10,307,261,183,26,N
10,69,189,78,37,N
10,8,183,67,26,N
10,0,228,72,10,N
10,0,222,67,13,N
10,0,244,72,6,N
10,0,244,72,10,N
10,0,250,100,23,N
10,0,206,72,21,N
10,0,194,22,17,N
10,0,183,89,30,N
10,10,161,61,29,N
10,5,122,44,15,N
10,0,156,39,25,N
10,53,122,44,29,N
10,0,178,33,40,N
10,0,128,0,35,N
10,51,94,-38,21,N
10,41,78,0,35,N
10,0,56,?,32,N
10,0,94,-16,26,N
10,0,133,-5,42,N
10,0,128,-38,10,N
10,0,150,-21,3,N
10,3,133,6,21,N
10,13,178,94,25,N
10,384,183,94,52,N
11,3,106,61,42,N
11,3,100,28,30,N
11,0,111,-16,16,N
11,0,139,39,35,N
11,8,133,83,29,N
11,56,150,22,48,N
11,0,83,-21,37,N
11,0,100,-43,17,N
11,0,161,50,51,N
11,0,89,-5,28,N
11,30,100,-10,35,N
11,0,6,-60,36,N
11,0,33,-88,29,N
11,0,111,-16,46,N
11,0,122,44,33,N
11,28,172,39,41,N
11,201,?,?,55,N
11,0,?,?,?,N
11,0,56,?,?,N
11,0,78,-38,36,N
11,142,89,61,23,N
11,13,89,-27,40,N
11,0,-21,-88,47,N
11,0,-38,-116,25,N
11,0,0,-82,36,N
11,0,28,-21,26,N
11,0,-16,-99,41,N
11,0,22,-77,33,N
11,0,28,-105,13,N
11,0,100,-27,24,N
12,0,89,-21,15,N
12,18,61,-10,34,N
12,0,94,22,28,N
12,0,161,50,37,N
12,0,128,-49,58,N
12,0,-38,-93,38,N
12,0,-38,-127,33,N
12,10,-27,-82,47,N
12,0,-38,-93,59,10
12,0,-32,-155,45,N
12,0,-38,-155,29,N
12,0,-32,-177,35,N
12,48,28,-93,24,N
12,84,0,-32,44,56
12,0,-21,-110,55,130
12,18,-49,-99,27,36
12,0,-21,-82,43,N
12,0,39,-121,37,N
12,0,72,28,25,N
12,36,133,33,33,N
12,434,28,0,38,N
12,8,22,-16,46,N
12,0,-16,-127,58,N
12,0,-71,-166,36,N
12,0,-16,-71,41,N
12,0,17,-77,47,N
12,0,67,-27,31,N
12,0,106,6,34,N
12,0,39,-55,45,N
12,0,-55,-110,36,N
12,0,-43,-110,35,5
1,10,-16,-71,46,N
1,38,-71,-138,53,71
1,0,-77,-227,27,51
1,0,17,-82,46,N
1,157,11,-105,46,33
1,0,?,?,?,203
1,0,-127,-255,35,N
1,0,-77,-149,15,N
1,3,-5,-93,33,N
1,74,56,-5,37,N
1,18,56,-5,48,N
1,0,67,-16,46,N
1,0,100,-21,49,N
1,5,33,-60,50,N
1,0,-32,-82,49,N
1,18,-5,-82,45,N
1,10,-21,-116,50,76
1,15,-55,-127,33,51
1,0,22,-116,53,142
1,0,33,-32,?,N
1,5,-32,-193,?,76
1,0,-82,-221,33,N
1,0,-143,-205,60,N
1,0,-55,-221,55,N
1,3,-5,-143,84,N
1,13,44,-143,55,N
1,0,-77,-216,77,N
1,0,-127,-249,22,N
1,0,-38,-182,37,N
1,0,6,-82,56,N
1,20,6,-55,24,N
2,272,33,-32,31,N
2,0,-10,-88,36,13
2,0,-38,-138,19,N
2,15,-60,-105,47,N
2,41,-32,-82,58,140
2,0,-82,-210,38,N
